學年,選別,科目,上學期_學分,上學期_成績,下學期_學分,下學期_成績
111,必,運算思維與程式設計,2.0,69,,
111,必,國文(一),2.0,69,,
111,必,國文(二),,,2.0,71
111,必,法律與數位生活,2.0,85,,
111,必,大一外文英文,2.0,65,2.0,68
111,必,體育(一),2.0,87,,
111,必,體育(二),,,2.0,92
111,必,全媒體識讀,2.0,79,,
111,必,機率與統計,,,3.0,60
111,必,管理學,,,3.0,88
111,必,程式設計一,3.0,65,,
111,必,程式設計二,,,3.0,78
111,選,微積分,,,3.0,81
111,選,多媒體軟體應用,3.0,72,,
111,選,雲端入門,,,3.0,90
111,通,愛情心理學,,,2.0,83
111,通,生活園藝美學,,,2.0,90
112,必,大二英文,2.0,27,,
112,必,物件導向程式設計,3.0,80,,
112,必,資料結構,,,3.0,66
112,必,電腦網路,,,3.0,83
112,選,數位邏輯設計,3.0,70,,
112,選,資訊管理,3.0,79,,
112,選,網頁伺服端程式設計,,,3.0,69
112,選,行動裝置程式設計,,,3.0,停修
112,選,網頁程式認證,,,3.0,60
112,選,雲端架構,,,3.0,80
112,選,行銷管理,3.0,75,,
112,選,體育興趣-排球初級,2.0,82,,
112,通,通識：生成式AI應用入門,,,2.0,64
112,通,通識：生命與品德教育,2.0,90,,
112,通,通識：網紅經濟與實務,2.0,80,,
113,必,大二英文,2.0,95,,
113,必,網路程式設計,3.0,56,,
113,必,作業系統,,,3.0,60
113,必,畢業專題(一),,,3.0,80
113,必,無線網路技術,,,3.0,62
113,必,資料庫系統,3.0,0*,,
113,選,資料庫程式設計,,,2.0,60
113,選,系統分析與設計,,,3.0,84
113,選,演算法,3.0,61,,
113,選,計算機結構,3.0,80,,
113,選,影像處理,3.0,95,,
113,選,雲端運算,3.0,66,,
113,選,智慧聯網,,,3.0,60
113,選,網路實務(一),2.0,89,,
113,選,網路實務(二),,,2.0,87
113,選,網路系統管理,3.0,82,,
