學年,選別,科目,上學期_學分,上學期_成績,下學期_學分,下學期_成績
111,必,運算思維與程式設計,2.0,99,,
111,必,國文(一),2.0,89,,
111,必,國文(二),,,2.0,80
111,必,法律與數位生活,2.0,95,,
111,必,大一外文英文,2.0,80,2.0,86
111,必,體育(一),2.0,94,,
111,必,體育(二),,,2.0,86
111,必,全媒體識讀,,,2.0,85
111,必,機率與統計,,,3.0,70
111,必,管理學,3.0,85,,
111,必,電子計算機概論,3.0,92,,
111,必,程式設計一,3.0,99,,
111,必,程式設計二,,,3.0,99
111,選,企業概論,,,3.0,86
111,選,微積分,,,3.0,97
111,選,多媒體軟體應用,3.0,92,,
111,選,雲端入門,,,3.0,99
111,通,英美現代詩歌欣賞,,,2.0,停修
111,通,全球化與另類全球化運動,2.0,90,,
112,必,大二英文,2.0,81,,
112,必,物件導向程式設計,3.0,99,,
112,必,資料結構,,,3.0,99
112,必,電腦網路,,,3.0,81
112,必,應用統計程式設計,,,3.0,97
112,選,網頁程式設計,3.0,99,,
112,選,離散數學,3.0,67,,
112,選,資訊管理,3.0,76,,
112,選,管理數學,3.0,99,,
112,選,網頁伺服端程式設計,,,3.0,100
112,選,行動裝置程式設計,,,3.0,98
112,選,智慧企業導論,3.0,93,,
112,選,組織行為,,,3.0,86
112,選,體育興趣-羽球初級,2.0,91,,
112,選,體育興趣-排球初級,,,2.0,90
112,通,通識：飛輪,,,2.0,95
113,必,作業系統,,,3.0,96
113,必,畢業專題(一),,,3.0,90
113,必,資料庫系統,3.0,100,,
113,必,演算法,3.0,86,,
113,選,數據分析技法,,,3.0,100
113,選,資料庫程式設計,,,2.0,99
113,選,系統分析與設計,,,3.0,97
113,選,無線網路技術,,,3.0,停修
113,選,計算機結構,3.0,98,,
113,選,雲端運算,3.0,84,,
113,選,遊戲製作,3.0,98,,
113,選,智慧聯網,,,3.0,99
113,通,通識：智慧財產權,2.0,93,,
113,通,通識：OPEN AI整合應用,2.0,98,,
113,通,通識：資訊安全與人工智慧,,,2.0,89
