學年,學期,學分,平均,名次,人數,名次_班,名次_組,名次_系,人數_班,人數_組,人數_系
111,1,24,91.6,"=""3／3／7""","=""32／32／154""",3,3,7,32,32,154
111,1,24,91.6,"=""3／3／7""","=""32／32／154""",3,3,7,32,32,154
111,1,24,91.6,"=""3／3／7""","=""32／32／154""",3,3,7,32,32,154
111,2,23,88.1,"=""4／4／21""","=""32／32／154""",4,4,21,32,32,154
111,2,23,88.1,"=""4／4／21""","=""32／32／154""",4,4,21,32,32,154
111,2,23,88.1,"=""4／4／21""","=""32／32／154""",4,4,21,32,32,154
112,1,22,88.3,"=""5／5／19""","=""35／35／162""",5,5,19,35,35,162
112,1,22,88.3,"=""5／5／19""","=""35／35／162""",5,5,19,35,35,162
112,1,22,88.3,"=""5／5／19""","=""35／35／162""",5,5,19,35,35,162
112,2,22,93.3,"=""2／2／12""","=""36／36／163""",2,2,12,36,36,163
112,2,22,93.3,"=""2／2／12""","=""36／36／163""",2,2,12,36,36,163
112,2,22,93.3,"=""2／2／12""","=""36／36／163""",2,2,12,36,36,163
113,1,19,93.7,"=""2／2／7""","=""35／35／161""",2,2,7,35,35,161
113,1,19,93.7,"=""2／2／7""","=""35／35／161""",2,2,7,35,35,161
113,1,19,93.7,"=""2／2／7""","=""35／35／161""",2,2,7,35,35,161
113,2,19,95.9,"=""1／1／1""","=""35／35／160""",1,1,1,35,35,160
113,2,19,95.9,"=""1／1／1""","=""35／35／160""",1,1,1,35,35,160
113,2,19,95.9,"=""1／1／1""","=""35／35／160""",1,1,1,35,35,160
